JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459125.334028,12.615,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.592,Z,,11.208,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.334549,12.618,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.598,Z,,11.212,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.335069,12.631,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.604,Z,,11.213,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.33559,12.626,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.610,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.336111,12.619,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.616,Z,,11.209,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.336632,12.620,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.622,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.337153,12.607,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.628,Z,,11.207,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.337662,12.623,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.635,Z,,11.216,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.338183,12.614,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.641,Z,,11.211,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.338715,12.615,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.648,Z,,11.207,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.339236,12.614,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.654,Z,,11.195,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.339745,12.608,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.660,Z,,11.204,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.340255,12.622,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.667,Z,,11.201,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.340787,12.631,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.674,Z,,11.208,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.341308,12.612,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.680,Z,,11.212,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.341829,12.618,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.687,Z,,11.201,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.34235,12.602,0.015,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.694,Z,,11.208,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.34287,12.614,0.014,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.701,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
