HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458376.47850,2018-09-14.9772785,be,1.94,15.522,12.534,0.015,37.169,0.496,V
2458376.66632,2018-09-15.1651259,bq,1.46,15.944,12.779,0.012,28.076,0.312,g
2458376.66753,2018-09-15.1663400,bq,1.46,15.910,12.769,0.012,28.340,0.321,g
2458376.66875,2018-09-15.1675598,bq,1.49,15.796,12.784,0.014,27.941,0.358,g
2458384.64113,2018-09-23.1407086,bq,2.07,15.527,12.820,0.018,27.047,0.454,g
2458384.64234,2018-09-23.1419225,bq,2.10,15.452,12.832,0.020,26.758,0.488,g
2458384.64356,2018-09-23.1431418,bq,2.08,15.422,12.696,0.018,30.316,0.498,g
2458385.63647,2018-09-24.1361524,bq,1.44,15.306,12.732,0.021,29.326,0.562,g
2458385.63769,2018-09-24.1373748,bq,1.61,15.442,12.760,0.019,28.570,0.489,g
2458385.63890,2018-09-24.1385865,bq,1.44,15.288,12.762,0.021,28.506,0.563,g
2458386.63190,2018-09-25.1316870,bq,2.02,15.239,12.742,0.022,29.042,0.594,g
2458386.63312,2018-09-25.1329083,bq,1.99,15.169,12.714,0.023,29.795,0.633,g
2458386.63434,2018-09-25.1341236,bq,2.02,15.341,12.783,0.021,27.992,0.540,g
2458387.63647,2018-09-26.1363513,bq,2.10,14.395,12.794,0.055,27.704,1.392,g
2458387.63769,2018-09-26.1375729,bq,2.04,13.996,13.195,0.107,19.143,1.869,g
2458387.63891,2018-09-26.1387917,bq,2.09,13.350,12.602,0.110,33.066,3.321,g
2458389.62520,2018-09-28.1252795,bq,1.59,15.759,12.762,0.014,28.526,0.371,g
2458389.62642,2018-09-28.1265030,bq,1.47,15.743,12.753,0.014,28.763,0.372,g
2458389.62764,2018-09-28.1277174,bq,1.49,15.835,12.796,0.013,27.654,0.344,g
2458390.56471,2018-09-29.0648754,bE,1.98,15.957,12.772,0.012,28.276,0.308,g
2458390.56599,2018-09-29.0661635,bE,1.97,15.907,12.777,0.012,28.120,0.322,g
2458390.56727,2018-09-29.0674409,bE,1.98,15.921,12.772,0.012,28.247,0.317,g
2458392.63226,2018-10-01.1326285,bq,1.47,15.946,12.793,0.012,27.716,0.312,g
2458392.63348,2018-10-01.1338474,bq,1.43,15.924,12.791,0.012,27.782,0.316,g
2458392.63470,2018-10-01.1350726,bq,1.45,15.914,12.764,0.012,28.462,0.320,g
2458393.56631,2018-10-02.0667697,bE,2.09,16.100,12.775,0.010,28.175,0.270,g
2458393.56758,2018-10-02.0680416,bE,2.09,16.067,12.763,0.010,28.499,0.278,g
2458393.56883,2018-10-02.0693030,bE,2.06,16.057,12.753,0.010,28.750,0.280,g
2458394.62757,2018-10-03.1281446,bq,2.21,15.774,12.764,0.015,28.470,0.370,g
2458394.62881,2018-10-03.1293729,bq,2.20,15.757,12.770,0.014,28.314,0.372,g
2458394.63003,2018-10-03.1305989,bq,2.17,15.801,12.732,0.014,29.303,0.364,g
2458395.55649,2018-10-04.0571534,bi,2.25,15.202,12.756,0.023,28.674,0.613,g
2458395.55772,2018-10-04.0583790,bi,2.03,15.184,12.774,0.024,28.218,0.621,g
2458395.55893,2018-10-04.0595937,bi,1.81,15.008,12.776,0.028,28.162,0.726,g
2458396.60730,2018-10-05.1080684,bq,1.50,15.925,12.777,0.012,28.141,0.318,g
2458396.60853,2018-10-05.1092940,bq,1.43,15.923,12.745,0.012,28.999,0.319,g
2458396.60974,2018-10-05.1105180,bq,1.44,15.950,12.778,0.012,28.125,0.312,g
2458398.60204,2018-10-07.1029986,bq,1.48,14.655,12.930,0.046,24.437,1.016,g
2458398.60325,2018-10-07.1042190,bq,1.54,15.148,12.859,0.028,26.090,0.647,g
2458398.60448,2018-10-07.1054461,bq,1.48,14.586,12.860,0.047,26.066,1.104,g
2458399.59379,2018-10-08.0948519,bq,2.03,15.856,12.727,0.012,29.457,0.335,g
2458399.59501,2018-10-08.0960741,bq,2.02,15.826,12.770,0.013,28.321,0.348,g
2458399.59626,2018-10-08.0973219,bq,1.97,15.831,12.764,0.013,28.484,0.346,g
2458401.58808,2018-10-10.0893333,bq,1.48,15.938,12.759,0.012,28.596,0.317,g
2458401.58929,2018-10-10.0905464,bq,1.42,15.946,12.772,0.012,28.276,0.312,g
2458401.59052,2018-10-10.0917674,bq,1.49,15.882,12.764,0.012,28.464,0.328,g
2458404.53246,2018-10-13.0339836,bE,2.28,16.026,12.796,0.011,27.664,0.290,g
2458404.53373,2018-10-13.0352590,bE,2.28,15.992,12.798,0.012,27.582,0.298,g
2458404.53500,2018-10-13.0365349,bE,2.25,16.041,12.762,0.011,28.532,0.285,g
2458410.50367,2018-10-19.0057645,bE,2.29,15.860,12.803,0.013,27.458,0.336,g
2458410.50493,2018-10-19.0070271,bE,2.24,15.913,12.806,0.012,27.399,0.320,g
2458410.50621,2018-10-19.0083032,bE,2.23,15.955,12.782,0.012,28.005,0.309,g
2458416.49218,2018-10-24.9948065,bE,2.49,15.473,12.791,0.019,27.776,0.477,g
2458416.49344,2018-10-24.9960709,bE,2.49,15.578,12.816,0.017,27.130,0.432,g
2458417.49137,2018-10-25.9940956,bi,1.94,15.495,12.826,0.019,26.893,0.465,g
2458417.49381,2018-10-25.9965422,bi,1.45,15.627,12.773,0.016,28.231,0.416,g
2458527.88620,2019-02-13.3898494,bE,2.08,15.846,12.763,0.013,28.500,0.343,g
2458527.88874,2019-02-13.3923886,bE,2.17,15.484,12.751,0.018,28.797,0.473,g
2458528.88161,2019-02-14.3851842,bE,1.46,16.018,12.787,0.011,27.889,0.294,g
2458528.88289,2019-02-14.3864638,bE,1.49,15.998,12.797,0.011,27.616,0.299,g
2458528.88417,2019-02-14.3877379,bE,1.48,15.876,12.804,0.013,27.438,0.333,g
2458529.88109,2019-02-15.3845873,bE,1.52,16.009,12.756,0.011,28.698,0.297,g
2458529.88236,2019-02-15.3858581,bE,1.45,16.055,12.762,0.011,28.528,0.285,g
2458529.88363,2019-02-15.3871273,bE,1.43,15.884,12.771,0.012,28.309,0.331,g
2458539.87123,2019-02-25.3738866,bi,1.35,15.778,12.784,0.014,27.935,0.363,g
2458539.87244,2019-02-25.3751023,bi,1.36,15.847,12.803,0.013,27.460,0.339,g
2458539.87367,2019-02-25.3763296,bi,1.44,15.803,12.764,0.013,28.474,0.357,g
2458540.87100,2019-02-26.3735743,bE,1.44,16.026,12.826,0.011,26.877,0.290,g
2458540.87229,2019-02-26.3748635,bE,1.41,15.991,12.822,0.012,27.004,0.300,g
2458540.87356,2019-02-26.3761392,bE,1.44,16.007,12.812,0.012,27.255,0.294,g
2458545.85936,2019-03-03.3614847,bi,1.43,14.487,12.965,0.060,23.657,1.293,g
2458546.00939,2019-03-03.5114944,bq,1.54,15.815,12.826,0.014,26.899,0.353,g
2458546.01061,2019-03-03.5127116,bq,1.56,15.734,12.778,0.015,28.105,0.385,g
2458546.01182,2019-03-03.5139387,bq,1.47,15.647,12.808,0.017,27.349,0.418,g
2458547.90094,2019-03-05.4028716,bi,1.43,15.747,12.780,0.014,28.065,0.372,g
2458547.90216,2019-03-05.4040883,bi,1.41,15.771,12.738,0.013,29.168,0.366,g
2458547.90338,2019-03-05.4053077,bi,1.41,15.677,12.767,0.015,28.386,0.397,g
2458549.99670,2019-03-07.4984368,bq,1.45,15.769,12.789,0.014,27.823,0.367,g
2458549.99791,2019-03-07.4996513,bq,1.50,15.756,12.836,0.015,26.649,0.371,g
2458549.99914,2019-03-07.5008743,bq,1.52,15.481,12.763,0.018,28.515,0.477,g
2458551.00463,2019-03-08.5062728,bq,1.55,99.990,99.990,99.990,99.990,99.990,g
2458551.00707,2019-03-08.5087094,bq,1.69,99.990,99.990,99.990,99.990,99.990,g
2458551.89917,2019-03-09.4007237,bE,1.44,16.041,12.801,0.011,27.520,0.285,g
2458551.90044,2019-03-09.4019956,bE,1.47,16.056,12.832,0.011,26.750,0.281,g
2458551.90171,2019-03-09.4032687,bE,1.49,16.038,12.825,0.011,26.916,0.288,g
2458558.98468,2019-03-16.4855436,bq,1.52,15.935,12.830,0.013,26.786,0.327,g
2458558.98589,2019-03-16.4867523,bq,1.55,15.847,12.776,0.013,28.178,0.344,g
2458558.98709,2019-03-16.4879623,bq,1.54,15.930,12.757,0.013,28.673,0.323,g
2458559.84073,2019-03-17.3415059,bi,1.51,15.997,12.809,0.012,27.335,0.295,g
2458559.84195,2019-03-17.3427280,bi,1.98,15.924,12.798,0.012,27.596,0.317,g
2458559.84317,2019-03-17.3439474,bi,1.96,16.002,12.811,0.012,27.256,0.296,g
2458560.83002,2019-03-18.3306966,bE,1.44,16.139,12.810,0.010,27.303,0.261,g
2458560.83129,2019-03-18.3319745,bE,1.40,16.081,12.809,0.011,27.316,0.275,g
2458560.83256,2019-03-18.3332365,bE,1.39,16.082,12.795,0.011,27.683,0.275,g
2458561.87488,2019-03-19.3754598,bE,1.41,16.122,12.799,0.010,27.574,0.266,g
2458561.87616,2019-03-19.3767434,bE,1.44,16.138,12.794,0.010,27.701,0.264,g
2458561.87745,2019-03-19.3780255,bE,1.47,16.079,12.805,0.011,27.417,0.278,g
2458562.81231,2019-03-20.3127936,bi,1.37,15.543,12.795,0.017,27.660,0.448,g
2458562.81353,2019-03-20.3140172,bi,1.39,15.545,12.821,0.018,27.013,0.448,g
2458562.81475,2019-03-20.3152329,bi,1.35,15.585,12.817,0.017,27.099,0.430,g
2458565.99367,2019-03-23.4938392,bq,1.52,15.347,12.851,0.022,26.288,0.537,g
2458565.99488,2019-03-23.4950503,bq,1.42,15.415,12.777,0.020,28.131,0.510,g
2458565.99610,2019-03-23.4962694,bq,1.48,15.172,12.833,0.025,26.716,0.628,g
2458566.80178,2019-03-24.3018717,bi,1.41,15.656,12.770,0.015,28.305,0.405,g
2458566.80300,2019-03-24.3030956,bi,1.46,15.610,12.792,0.016,27.770,0.423,g
2458566.80422,2019-03-24.3043195,bi,1.42,15.670,12.809,0.016,27.319,0.400,g
2458567.82479,2019-03-25.3247767,bE,1.44,15.837,12.791,0.013,27.776,0.344,g
2458567.82606,2019-03-25.3260456,bE,1.48,15.858,12.790,0.013,27.801,0.338,g
2458567.82733,2019-03-25.3273106,bE,1.47,15.929,12.779,0.012,28.081,0.317,g
2458572.62946,2019-03-30.1289708,bm,1.53,16.043,12.803,0.011,27.453,0.287,g
2458572.63067,2019-03-30.1301736,bm,1.51,16.075,12.776,0.010,28.162,0.282,g
2458572.63187,2019-03-30.1313776,bm,1.47,16.044,12.790,0.011,27.795,0.289,g
2458572.78461,2019-03-30.2841024,bE,1.73,15.514,12.748,0.018,28.906,0.469,g
2458572.78589,2019-03-30.2853825,bE,1.59,15.158,12.814,0.025,27.204,0.639,g
2458573.11210,2019-03-30.6115620,bA,2.19,16.123,12.817,0.011,27.122,0.280,g
2458573.11336,2019-03-30.6128266,bA,2.20,16.094,12.755,0.011,28.711,0.282,g
2458573.11464,2019-03-30.6141054,bA,2.22,16.109,12.788,0.011,27.845,0.288,g
2458574.52531,2019-04-01.0246390,bm,1.48,15.971,12.757,0.011,28.655,0.308,g
2458574.52657,2019-04-01.0258908,bm,1.44,16.019,12.776,0.011,28.159,0.291,g
2458574.52779,2019-04-01.0271115,bm,1.47,16.009,12.784,0.011,27.951,0.296,g
2458575.84805,2019-04-02.3472458,bi,1.39,16.053,12.822,0.011,26.995,0.284,g
2458575.84926,2019-04-02.3484626,bi,1.37,15.930,12.790,0.012,27.810,0.317,g
