HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458607.72792,2019-05-04.2242414,bi,1.46,15.681,12.805,0.015,27.414,0.394,g
2458607.72913,2019-05-04.2254546,bi,1.45,15.687,12.772,0.015,28.264,0.391,g
2458607.73035,2019-05-04.2266738,bi,1.42,15.701,12.769,0.015,28.343,0.390,g
2458608.78703,2019-05-05.2832685,bE,1.47,16.025,12.765,0.011,28.446,0.291,g
2458608.78830,2019-05-05.2845385,bE,1.91,16.110,12.775,0.010,28.163,0.269,g
2458608.78956,2019-05-05.2858085,bE,1.43,16.155,12.739,0.009,29.143,0.260,g
2458610.84563,2019-05-07.3417243,bq,2.00,15.823,12.827,0.014,26.846,0.351,g
2458610.84685,2019-05-07.3429344,bq,1.97,15.805,12.801,0.014,27.505,0.352,g
2458610.84806,2019-05-07.3441516,bq,1.97,15.782,12.778,0.014,28.100,0.362,g
2458611.02213,2019-05-07.5182016,bA,2.10,16.161,12.760,0.011,28.593,0.272,g
2458611.02340,2019-05-07.5194822,bA,2.13,16.218,12.776,0.010,28.167,0.259,g
2458611.02468,2019-05-07.5207579,bA,2.11,16.240,12.738,0.010,29.175,0.265,g
2458612.77388,2019-05-09.2698311,bi,1.44,16.017,12.775,0.011,28.184,0.293,g
2458612.77510,2019-05-09.2710447,bi,1.48,16.032,12.812,0.011,27.249,0.288,g
2458612.77632,2019-05-09.2722652,bi,1.47,16.016,12.815,0.011,27.159,0.290,g
2458613.67548,2019-05-10.1713738,bi,1.42,15.933,12.781,0.012,28.038,0.316,g
2458613.67671,2019-05-10.1725934,bi,1.41,15.969,12.794,0.012,27.713,0.308,g
2458613.67793,2019-05-10.1738210,bi,1.37,16.011,12.767,0.011,28.377,0.297,g
2458614.70227,2019-05-11.1980812,bi,1.40,15.958,12.773,0.012,28.246,0.310,g
2458614.70349,2019-05-11.1992995,bi,1.35,15.993,12.832,0.012,26.753,0.299,g
2458614.70471,2019-05-11.2005166,bi,1.38,15.965,12.804,0.012,27.445,0.306,g
2458615.69101,2019-05-12.1867561,bi,1.42,16.003,12.797,0.011,27.623,0.298,g
2458615.69223,2019-05-12.1879719,bi,1.41,15.970,12.804,0.012,27.450,0.307,g
2458615.69344,2019-05-12.1891878,bi,1.48,15.957,12.780,0.012,28.050,0.309,g
2458616.66861,2019-05-13.1642966,bi,1.39,15.874,12.796,0.013,27.646,0.333,g
2458616.66983,2019-05-13.1655158,bi,1.45,15.848,12.796,0.013,27.628,0.343,g
2458616.67106,2019-05-13.1667364,bi,1.34,15.921,12.790,0.012,27.787,0.321,g
2458618.02480,2019-05-14.5203857,bA,2.12,16.033,12.779,0.012,28.077,0.300,g
2458618.02607,2019-05-14.5216541,bA,2.11,16.134,12.814,0.011,27.187,0.276,g
2458618.02734,2019-05-14.5229287,bA,2.13,16.068,12.826,0.012,26.882,0.289,g
2458619.05237,2019-05-15.5478905,bA,2.15,16.180,13.001,0.013,22.888,0.263,g
2458619.05365,2019-05-15.5491702,bA,2.16,16.070,12.968,0.014,23.602,0.286,g
2458619.05493,2019-05-15.5504550,bA,2.16,16.160,12.970,0.013,23.562,0.272,g
2458620.64549,2019-05-17.1409187,bE,1.46,15.623,12.859,0.017,26.082,0.415,g
2458620.64677,2019-05-17.1421938,bE,1.43,15.749,12.868,0.015,25.862,0.371,g
2458620.64803,2019-05-17.1434626,bE,1.46,15.772,12.840,0.015,26.559,0.363,g
2458621.77016,2019-05-18.2655114,bi,1.36,15.526,12.819,0.018,27.047,0.454,g
2458621.77136,2019-05-18.2667224,bi,1.35,15.584,12.813,0.017,27.209,0.432,g
2458621.77259,2019-05-18.2679403,bi,1.40,15.597,12.784,0.016,27.960,0.429,g
2458622.58926,2019-05-19.0845600,bm,2.01,15.534,12.797,0.018,27.625,0.452,g
2458622.59082,2019-05-19.0861251,bm,1.97,15.622,12.822,0.017,27.003,0.416,g
2458622.59210,2019-05-19.0874031,bm,1.98,15.585,12.838,0.017,26.579,0.429,g
2458627.76561,2019-05-24.2606339,bE,1.99,15.383,12.816,0.021,27.129,0.520,g
2458627.76688,2019-05-24.2618994,bE,1.98,15.652,12.838,0.016,26.614,0.405,g
2458627.76816,2019-05-24.2631767,bE,1.97,15.715,12.828,0.015,26.838,0.386,g
2458629.73792,2019-05-26.2328408,bi,1.33,99.990,99.990,99.990,99.990,99.990,g
2458629.73914,2019-05-26.2340568,bi,1.79,99.990,99.990,99.990,99.990,99.990,g
2458630.95419,2019-05-27.4490535,bA,2.14,16.325,12.865,0.010,25.929,0.243,g
2458630.95547,2019-05-27.4503317,bA,2.09,16.337,12.854,0.010,26.210,0.228,g
2458630.95674,2019-05-27.4516049,bA,2.13,16.238,12.851,0.011,26.291,0.252,g
2458631.92630,2019-05-28.4211201,bq,1.45,15.886,12.836,0.013,26.651,0.331,g
2458631.92790,2019-05-28.4227193,bq,1.53,15.908,12.833,0.013,26.725,0.325,g
2458631.92950,2019-05-28.4243203,bq,1.53,15.885,12.823,0.013,26.964,0.331,g
2458632.95426,2019-05-29.4490325,bA,2.14,16.184,12.841,0.011,26.523,0.267,g
2458632.95555,2019-05-29.4503121,bA,2.15,16.236,12.800,0.010,27.552,0.255,g
2458632.95683,2019-05-29.4515937,bA,2.18,16.259,12.861,0.011,26.037,0.249,g
2458634.99082,2019-05-31.4855043,bA,2.11,16.304,12.882,0.010,25.526,0.237,g
2458634.99211,2019-05-31.4867841,bA,2.14,16.227,12.846,0.011,26.402,0.261,g
2458634.99338,2019-05-31.4880591,bA,2.11,16.235,12.885,0.011,25.492,0.253,g
2458635.89202,2019-06-01.3866586,bi,1.44,16.042,12.876,0.012,25.682,0.286,g
2458635.89323,2019-06-01.3878747,bi,1.45,16.016,12.862,0.012,26.008,0.291,g
2458635.89445,2019-06-01.3890949,bi,1.46,16.019,12.877,0.012,25.655,0.291,g
2458635.94708,2019-06-01.4417234,bq,1.62,15.661,12.907,0.018,24.957,0.412,g
2458635.94869,2019-06-01.4433256,bq,1.61,15.462,13.118,0.030,20.554,0.576,g
2458635.95028,2019-06-01.4449212,bq,1.54,14.501,13.207,0.073,18.936,1.268,g
2458636.94970,2019-06-02.4442971,bq,1.58,15.029,12.990,0.035,23.124,0.748,g
2458636.95130,2019-06-02.4458987,bq,1.45,15.191,12.851,0.027,26.289,0.650,g
2458636.95290,2019-06-02.4474988,bq,1.51,15.131,13.007,0.032,22.744,0.657,g
2458637.54387,2019-06-03.0384533,bm,1.46,16.111,12.949,0.012,24.005,0.267,g
2458637.54510,2019-06-03.0396744,bm,1.51,16.065,12.945,0.012,24.095,0.278,g
2458637.54631,2019-06-03.0408916,bm,1.45,16.159,12.979,0.012,23.351,0.258,g
2458638.69278,2019-06-04.1873163,bE,1.54,16.113,12.897,0.011,25.198,0.267,g
2458638.69405,2019-06-04.1885859,bE,1.44,16.080,12.912,0.012,24.839,0.275,g
2458638.69532,2019-06-04.1898621,bE,1.46,16.051,12.886,0.012,25.451,0.283,g
2458639.75277,2019-06-05.2472634,bi,1.47,14.931,12.911,0.035,24.850,0.794,g
2458639.75399,2019-06-05.2484854,bi,1.46,15.057,12.868,0.029,25.873,0.696,g
2458639.75520,2019-06-05.2497033,bi,1.45,14.461,12.825,0.049,26.899,1.198,g
2458639.85936,2019-06-05.3538635,bE,1.41,15.453,12.872,0.020,25.781,0.484,g
2458639.86064,2019-06-05.3551400,bE,1.44,15.287,12.859,0.023,26.093,0.563,g
2458639.86192,2019-06-05.3564158,bE,1.51,15.258,12.886,0.025,25.445,0.579,g
2458640.66499,2019-06-06.1594627,bi,1.39,15.985,12.856,0.012,26.166,0.302,g
2458640.66621,2019-06-06.1606798,bi,1.39,15.988,12.849,0.012,26.328,0.299,g
2458640.66743,2019-06-06.1618993,bi,1.38,16.003,12.876,0.012,25.677,0.296,g
2458641.68241,2019-06-07.1768472,bi,1.44,15.986,12.834,0.012,26.681,0.298,g
2458641.68364,2019-06-07.1780721,bi,1.39,15.983,12.788,0.011,27.859,0.300,g
2458641.68485,2019-06-07.1792876,bi,1.42,16.030,12.850,0.012,26.312,0.289,g
2458642.48610,2019-06-07.9805200,bm,1.49,16.103,12.860,0.011,26.071,0.272,g
2458642.48730,2019-06-07.9817261,bm,1.51,99.990,99.990,99.990,99.990,99.990,g
2458642.48852,2019-06-07.9829357,bm,1.40,99.990,99.990,99.990,99.990,99.990,g
2458643.35200,2019-06-08.8463803,bm,1.52,16.062,12.846,0.011,26.400,0.282,g
2458643.35321,2019-06-08.8475969,bm,1.54,15.989,12.858,0.012,26.107,0.300,g
2458643.35443,2019-06-08.8488199,bm,1.53,16.038,12.828,0.011,26.828,0.289,g
2458644.64316,2019-06-10.1375129,bE,1.43,16.073,12.876,0.011,25.667,0.279,g
2458644.64443,2019-06-10.1387857,bE,1.41,16.095,12.854,0.011,26.205,0.273,g
2458644.64570,2019-06-10.1400497,bE,1.50,16.142,12.845,0.010,26.428,0.261,g
2458645.43636,2019-06-10.9306870,bm,1.49,16.038,12.843,0.011,26.476,0.286,g
2458645.43758,2019-06-10.9319096,bm,1.44,16.070,12.850,0.011,26.285,0.277,g
2458645.43878,2019-06-10.9331172,bm,1.44,16.122,12.860,0.011,26.060,0.269,g
2458646.65827,2019-06-12.1525784,bE,1.41,16.063,12.853,0.011,26.240,0.279,g
2458646.65956,2019-06-12.1538589,bE,1.45,16.131,12.852,0.011,26.258,0.267,g
2458646.66082,2019-06-12.1551215,bE,1.48,16.024,12.858,0.012,26.128,0.289,g
2458647.66501,2019-06-13.1592924,bi,1.44,15.908,12.848,0.013,26.349,0.322,g
2458647.66623,2019-06-13.1605137,bi,1.43,15.969,12.877,0.013,25.644,0.303,g
2458647.66745,2019-06-13.1617327,bi,1.51,15.870,12.872,0.014,25.781,0.334,g
2458649.42078,2019-06-14.9150342,bm,1.52,15.756,12.839,0.015,26.556,0.368,g
2458649.42227,2019-06-14.9165159,bm,1.44,15.825,12.837,0.014,26.638,0.346,g
2458649.42351,2019-06-14.9177527,bm,1.48,15.810,12.855,0.014,26.180,0.352,g
2458650.61646,2019-06-16.1106851,bi,1.39,15.497,12.838,0.019,26.602,0.465,g
2458650.61768,2019-06-16.1119033,bi,1.43,15.387,12.831,0.021,26.774,0.514,g
2458650.61889,2019-06-16.1131192,bi,1.48,15.451,12.869,0.020,25.846,0.486,g
2458654.63128,2019-06-20.1254524,bE,2.10,15.517,12.881,0.019,25.558,0.459,g
2458654.89037,2019-06-20.3845372,bA,2.13,15.605,12.799,0.018,27.586,0.430,g
2458654.89165,2019-06-20.3858186,bA,2.15,15.543,12.796,0.018,27.633,0.465,g
2458654.89292,2019-06-20.3870936,bA,2.19,15.459,12.864,0.021,25.966,0.500,g
2458655.39047,2019-06-20.8846270,bm,1.57,15.664,12.854,0.016,26.211,0.400,g
2458655.39199,2019-06-20.8861508,bm,1.46,15.638,12.845,0.017,26.432,0.413,g
2458655.39329,2019-06-20.8874473,bm,1.95,15.657,12.842,0.016,26.516,0.404,g
2458656.57193,2019-06-22.0660825,bi,1.37,15.015,12.827,0.029,26.865,0.725,g
2458656.57314,2019-06-22.0672981,bi,1.37,15.382,12.849,0.022,26.336,0.523,g
2458656.57436,2019-06-22.0685150,bi,1.40,15.308,12.887,0.023,25.439,0.553,g
2458656.82834,2019-06-22.3224912,bq,1.41,15.653,12.839,0.016,26.583,0.407,g
2458656.82956,2019-06-22.3237048,bq,1.51,15.674,12.836,0.016,26.635,0.400,g
2458656.83077,2019-06-22.3249221,bq,1.52,15.707,12.851,0.016,26.287,0.391,g
2458657.81133,2019-06-23.3054769,bE,2.04,16.068,12.881,0.012,25.558,0.278,g
2458657.81260,2019-06-23.3067429,bE,2.04,16.002,12.870,0.012,25.811,0.296,g
2458657.81388,2019-06-23.3080332,bE,2.05,16.043,12.861,0.012,26.045,0.285,g
2458658.78394,2019-06-24.2780754,bq,1.48,15.926,12.808,0.013,27.345,0.326,g
2458658.78515,2019-06-24.2792938,bq,1.50,15.890,12.800,0.014,27.541,0.334,g
2458658.78637,2019-06-24.2805119,bq,1.37,15.945,12.835,0.012,26.680,0.314,g
2458658.89577,2019-06-24.3899140,bq,1.42,15.709,12.806,0.015,27.402,0.388,g
2458658.89699,2019-06-24.3911274,bq,1.46,15.658,12.843,0.016,26.471,0.407,g
2458658.89819,2019-06-24.3923361,bq,1.47,15.746,12.820,0.016,27.059,0.379,g
2458660.82679,2019-06-26.3209271,bi,1.41,15.922,12.842,0.013,26.502,0.319,g
2458660.82801,2019-06-26.3221465,bi,1.43,15.958,12.866,0.013,25.913,0.310,g
2458660.82922,2019-06-26.3233626,bi,1.41,15.989,12.846,0.012,26.389,0.301,g
2458661.82474,2019-06-27.3188817,bE,1.46,15.031,12.945,0.033,24.110,0.721,g
2458661.82601,2019-06-27.3201491,bE,1.56,99.990,99.990,99.990,99.990,99.990,g
2458661.82728,2019-06-27.3214171,bE,1.53,99.990,99.990,99.990,99.990,99.990,g
2458662.54322,2019-06-28.0373653,bE,1.45,16.125,12.904,0.011,25.026,0.266,g
2458662.54449,2019-06-28.0386324,bE,1.46,16.086,12.887,0.011,25.416,0.275,g
2458662.54578,2019-06-28.0399188,bE,1.45,16.109,12.907,0.011,24.955,0.269,g
2458662.91199,2019-06-28.4061332,bA,2.06,16.089,12.874,0.012,25.728,0.286,g
2458662.91326,2019-06-28.4074108,bA,2.07,16.104,12.887,0.012,25.412,0.290,g
2458662.91455,2019-06-28.4086939,bA,2.06,16.156,12.899,0.012,25.163,0.267,g
2458666.81600,2019-07-02.3101728,bE,1.49,16.096,12.877,0.011,25.669,0.272,g
2458666.81728,2019-07-02.3114460,bE,1.50,16.149,12.868,0.011,25.850,0.260,g
2458666.81855,2019-07-02.3127197,bE,1.52,16.100,12.873,0.011,25.750,0.271,g
2458666.92526,2019-07-02.4194273,bA,2.11,16.250,12.881,0.011,25.570,0.259,g
2458666.92654,2019-07-02.4207126,bA,2.11,16.219,12.831,0.011,26.769,0.263,g
2458666.92782,2019-07-02.4219891,bA,2.10,16.218,12.880,0.011,25.578,0.253,g
2458667.74372,2019-07-03.2378988,bq,1.45,15.879,12.836,0.014,26.645,0.337,g
2458667.74493,2019-07-03.2391099,bq,1.44,15.857,12.838,0.014,26.593,0.338,g
2458667.74614,2019-07-03.2403185,bq,1.55,15.807,12.816,0.015,27.135,0.360,g
2458668.70022,2019-07-04.1944069,bi,1.42,15.988,12.872,0.012,25.777,0.298,g
2458668.70143,2019-07-04.1956188,bi,1.42,15.974,12.877,0.013,25.653,0.303,g
2458668.70264,2019-07-04.1968347,bi,1.42,16.063,12.882,0.012,25.538,0.279,g
2458669.76449,2019-07-05.2586930,bq,1.42,15.868,12.827,0.014,26.874,0.339,g
2458669.76573,2019-07-05.2599403,bq,1.43,15.865,12.821,0.014,27.025,0.342,g
2458669.76695,2019-07-05.2611526,bq,1.42,15.872,12.820,0.013,27.048,0.337,g
2458670.72449,2019-07-06.2187120,bq,1.47,15.418,12.840,0.021,26.545,0.528,g
2458670.72569,2019-07-06.2199200,bq,1.47,15.244,12.963,0.028,23.685,0.600,g
2458670.72690,2019-07-06.2211275,bq,1.49,14.976,12.884,0.033,25.509,0.762,g
2458670.91765,2019-07-06.4118802,bA,2.12,16.217,12.846,0.011,26.404,0.262,g
2458670.91892,2019-07-06.41315,bA,2.15,16.205,12.845,0.011,26.430,0.260,g
2458670.92020,2019-07-06.4144267,bA,2.12,16.189,12.828,0.011,26.842,0.267,g
2458671.51831,2019-07-07.0125459,bi,1.40,99.990,99.990,99.990,99.990,99.990,g
2458671.91376,2019-07-07.4080001,bA,2.20,16.151,12.809,0.011,27.338,0.268,g
2458671.91505,2019-07-07.4092909,bA,2.18,16.183,12.824,0.011,26.944,0.262,g
2458671.91632,2019-07-07.4105641,bA,2.20,16.266,12.838,0.009,26.615,0.238,g
2458673.26150,2019-07-08.7557682,bm,1.48,15.975,12.841,0.012,26.527,0.304,g
2458673.26271,2019-07-08.7569793,bm,1.42,15.954,12.835,0.012,26.673,0.311,g
2458673.26392,2019-07-08.7581868,bm,1.45,16.038,12.815,0.011,27.168,0.287,g
2458674.83545,2019-07-10.3297526,bA,2.11,16.074,12.777,0.011,28.146,0.287,g
2458674.83674,2019-07-10.3310398,bA,2.09,16.113,12.806,0.011,27.389,0.287,g
2458674.83801,2019-07-10.3323173,bA,2.10,16.030,12.815,0.012,27.162,0.306,g
2458675.89977,2019-07-11.3941002,bA,2.13,16.046,12.819,0.012,27.068,0.298,g
2458677.36978,2019-07-12.8641498,bm,1.98,15.864,12.866,0.014,25.928,0.334,g
2458677.37102,2019-07-12.8653812,bm,1.95,15.837,12.882,0.014,25.550,0.342,g
2458677.37223,2019-07-12.8665971,bm,1.46,15.779,12.828,0.014,26.841,0.360,g
2458683.77763,2019-07-19.2721982,bE,1.43,15.925,12.796,0.012,27.660,0.319,g
2458683.77890,2019-07-19.2734703,bE,1.91,15.803,12.766,0.013,28.411,0.355,g
2458683.78017,2019-07-19.2747466,bE,1.42,15.950,12.755,0.012,28.717,0.315,g
2458684.65608,2019-07-20.1506884,bE,1.42,16.049,12.827,0.011,26.877,0.282,g
2458684.65735,2019-07-20.1519581,bE,1.54,16.006,12.818,0.012,27.084,0.294,g
2458684.65863,2019-07-20.1532327,bE,1.52,15.894,12.816,0.013,27.138,0.326,g
2458685.39101,2019-07-20.8856408,bm,1.50,15.993,12.816,0.012,27.135,0.295,g
2458685.69096,2019-07-21.1856086,bE,1.38,99.990,99.990,99.990,99.990,99.990,g
2458685.69223,2019-07-21.1868729,bE,1.39,99.990,99.990,99.990,99.990,99.990,g
2458685.69349,2019-07-21.1881375,bE,1.48,13.563,12.820,0.111,27.056,2.747,g
2458686.39789,2019-07-21.8925637,bm,2.03,16.027,12.825,0.011,26.901,0.288,g
2458686.39933,2019-07-21.8940033,bm,1.98,16.006,12.869,0.012,25.858,0.297,g
2458686.40079,2019-07-21.8954630,bm,2.02,16.008,12.882,0.012,25.547,0.292,g
2458688.74408,2019-07-24.2388547,bE,1.51,16.108,12.867,0.011,25.904,0.269,g
2458689.77430,2019-07-25.2691238,bi,1.46,15.914,12.938,0.014,24.260,0.320,g
2458689.77552,2019-07-25.2703396,bi,1.42,15.957,12.939,0.014,24.222,0.308,g
2458689.77675,2019-07-25.2715684,bi,1.48,15.905,12.943,0.014,24.158,0.322,g
2458690.64254,2019-07-26.1373987,bi,1.47,16.049,12.923,0.012,24.593,0.283,g
2458690.64375,2019-07-26.1386108,bi,1.50,16.045,12.931,0.012,24.426,0.284,g
2458690.64497,2019-07-26.1398244,bi,1.40,16.116,12.922,0.012,24.596,0.270,g
2458691.74728,2019-07-27.2421939,bE,1.48,16.141,12.908,0.011,24.933,0.258,g
2458691.74855,2019-07-27.2434717,bE,1.46,16.072,12.899,0.012,25.156,0.278,g
2458691.74983,2019-07-27.2447493,bE,1.46,16.124,12.901,0.011,25.080,0.264,g
2458692.80266,2019-07-28.2976245,bq,1.53,15.856,12.906,0.015,24.989,0.344,g
2458692.80387,2019-07-28.2988468,bq,1.44,15.846,12.901,0.015,25.095,0.345,g
2458692.80509,2019-07-28.3000625,bq,1.43,15.885,12.882,0.015,25.545,0.334,g
2458693.67941,2019-07-29.1744219,bi,1.37,15.978,12.849,0.012,26.343,0.302,g
2458693.68063,2019-07-29.1756402,bi,1.41,16.020,12.875,0.012,25.707,0.291,g
2458693.68185,2019-07-29.1768562,bi,1.44,16.002,12.823,0.012,26.981,0.294,g
2458693.85500,2019-07-29.3500206,bA,2.10,16.189,12.858,0.011,26.113,0.263,g
2458693.85628,2019-07-29.3512995,bA,2.11,16.266,12.803,0.010,27.465,0.252,g
2458693.85755,2019-07-29.3525748,bA,2.09,16.203,12.844,0.011,26.467,0.263,g
2458695.63350,2019-07-31.1286145,bi,1.36,16.058,12.857,0.011,26.129,0.284,g
2458695.63472,2019-07-31.1298372,bi,1.42,16.019,12.856,0.012,26.160,0.290,g
2458695.63594,2019-07-31.1310560,bi,1.43,16.064,12.878,0.012,25.633,0.279,g
2458696.83377,2019-08-01.3289491,bA,1.85,99.990,99.990,99.990,99.990,99.990,g
2458697.80650,2019-08-02.3017320,bq,1.40,15.741,12.828,0.016,26.828,0.380,g
2458698.49110,2019-08-02.9863733,bm,1.44,99.990,99.990,99.990,99.990,99.990,g
2458698.49231,2019-08-02.9875814,bm,1.52,99.990,99.990,99.990,99.990,99.990,g
2458698.49352,2019-08-02.9887995,bm,1.45,99.990,99.990,99.990,99.990,99.990,g
2458698.83897,2019-08-03.3342649,bA,1.84,99.990,99.990,99.990,99.990,99.990,g
2458698.84023,2019-08-03.3355325,bA,2.05,15.039,12.787,0.031,27.883,0.801,g
2458698.84150,2019-08-03.3368047,bA,1.99,14.265,12.949,0.067,24.016,1.469,g
2458699.33096,2019-08-03.8262800,bm,1.47,16.068,12.804,0.011,27.431,0.280,g
2458699.33216,2019-08-03.8274887,bm,1.40,16.092,12.836,0.011,26.639,0.272,g
2458699.33337,2019-08-03.8286938,bm,1.42,16.058,12.808,0.011,27.334,0.280,g
2458700.81875,2019-08-05.3141594,bA,2.12,16.171,12.780,0.011,28.045,0.271,g
2458700.82002,2019-08-05.3154306,bA,2.11,16.175,12.812,0.011,27.243,0.275,g
2458700.82129,2019-08-05.3167031,bA,2.10,16.245,12.849,0.011,26.344,0.257,g
2458701.66955,2019-08-06.1650167,bE,1.48,16.091,12.783,0.010,27.970,0.273,g
2458701.67083,2019-08-06.1662942,bE,1.47,16.112,12.800,0.010,27.545,0.269,g
2458701.67210,2019-08-06.1675688,bE,1.43,16.115,12.800,0.010,27.539,0.269,g
2458702.47680,2019-08-06.9723148,bi,1.39,16.003,12.798,0.011,27.595,0.297,g
2458702.47802,2019-08-06.9735351,bi,1.37,15.907,12.792,0.012,27.726,0.323,g
2458702.47923,2019-08-06.9747533,bi,1.40,15.910,12.810,0.013,27.282,0.322,g
2458702.73710,2019-08-07.2326339,bi,1.47,16.016,12.825,0.012,26.920,0.293,g
2458702.73834,2019-08-07.2338733,bi,1.42,15.991,12.834,0.012,26.695,0.301,g
2458702.73956,2019-08-07.2350960,bi,1.43,15.911,12.855,0.013,26.183,0.319,g
2458703.70609,2019-08-08.2016924,bi,1.43,15.942,12.856,0.013,26.159,0.313,g
2458703.70732,2019-08-08.2029153,bi,1.46,15.970,12.852,0.012,26.248,0.302,g
2458703.70854,2019-08-08.2041326,bi,1.46,15.882,12.845,0.013,26.424,0.331,g
2458712.61048,2019-08-17.1067097,bE,1.43,15.879,12.814,0.013,27.167,0.329,g
2458712.61175,2019-08-17.1079787,bE,1.42,15.979,12.857,0.012,26.129,0.303,g
2458712.61303,2019-08-17.1092586,bE,1.89,15.991,12.834,0.012,26.683,0.302,g
2458713.56024,2019-08-18.0565413,bi,1.40,15.901,12.819,0.013,27.083,0.326,g
2458713.56146,2019-08-18.0577616,bi,1.41,15.883,12.832,0.013,26.744,0.329,g
2458713.56269,2019-08-18.0589840,bi,1.42,15.834,12.812,0.014,27.229,0.346,g
2458713.65575,2019-08-18.1520534,bi,1.42,14.743,12.828,0.038,26.850,0.927,g
2458713.65696,2019-08-18.1532712,bi,1.43,14.952,12.834,0.031,26.705,0.768,g
2458713.65818,2019-08-18.1544883,bi,1.46,14.676,12.798,0.040,27.582,1.016,g
2458714.65467,2019-08-19.1510518,bi,1.36,14.399,12.821,0.051,27.013,1.275,g
2458714.65589,2019-08-19.1522690,bi,1.38,14.681,12.724,0.036,29.524,0.986,g
2458714.67759,2019-08-19.1739675,bi,1.45,14.697,12.789,0.038,27.829,0.973,g
2458714.67880,2019-08-19.1751858,bi,1.49,14.416,12.874,0.053,25.739,1.250,g
2458714.68003,2019-08-19.1764076,bi,1.39,14.166,12.753,0.061,28.770,1.590,g
2458715.56736,2019-08-20.0638208,bi,1.47,16.026,12.836,0.012,26.635,0.293,g
2458715.56858,2019-08-20.0650346,bi,1.40,16.002,12.791,0.011,27.783,0.294,g
2458715.56980,2019-08-20.0662549,bi,1.41,16.033,12.808,0.011,27.351,0.290,g
2458715.72954,2019-08-20.2260016,bq,1.42,15.674,12.821,0.016,27.012,0.401,g
2458715.73074,2019-08-20.2272155,bq,1.51,15.575,12.851,0.018,26.284,0.439,g
2458715.73197,2019-08-20.2284363,bq,1.54,15.635,12.827,0.016,26.858,0.415,g
2458716.31254,2019-08-20.8090505,bm,1.48,16.061,12.822,0.011,26.983,0.279,g
2458716.31375,2019-08-20.8102585,bm,1.52,16.079,12.808,0.011,27.329,0.274,g
2458716.31495,2019-08-20.8114608,bm,1.41,16.120,12.808,0.010,27.342,0.267,g
2458716.68363,2019-08-21.1801699,bq,1.46,15.856,12.792,0.014,27.752,0.348,g
2458716.68484,2019-08-21.1813820,bq,1.45,15.860,12.755,0.013,28.693,0.346,g
2458716.68607,2019-08-21.1826112,bq,1.48,15.855,12.779,0.014,28.088,0.344,g
2458717.69022,2019-08-22.1868535,bq,1.49,15.845,12.806,0.014,27.389,0.346,g
2458717.69144,2019-08-22.1880668,bq,1.49,15.856,12.791,0.013,27.784,0.341,g
2458717.69266,2019-08-22.1892840,bq,1.45,15.890,12.797,0.013,27.607,0.330,g
2458719.43768,2019-08-23.9344442,bm,1.41,15.968,12.802,0.012,27.499,0.308,g
2458719.43889,2019-08-23.9356526,bm,1.51,15.963,12.794,0.012,27.698,0.308,g
2458719.44011,2019-08-23.9368732,bm,1.49,15.905,12.800,0.012,27.556,0.322,g
2458719.75478,2019-08-24.2515711,bA,2.20,16.204,12.827,0.011,26.868,0.260,g
2458719.75606,2019-08-24.2528498,bA,2.21,16.181,12.823,0.011,26.971,0.266,g
2458719.75733,2019-08-24.2541321,bA,2.21,16.183,12.836,0.011,26.645,0.265,g
2458720.61762,2019-08-25.1144854,bi,1.48,15.932,12.829,0.013,26.818,0.314,g
2458720.61883,2019-08-25.1156975,bi,1.45,16.000,12.813,0.012,27.206,0.297,g
2458720.62005,2019-08-25.1169158,bi,1.52,16.006,12.813,0.012,27.207,0.299,g
2458721.63601,2019-08-26.1329520,bq,1.51,15.885,12.843,0.014,26.467,0.338,g
2458721.63724,2019-08-26.1341903,bq,1.51,15.878,12.844,0.013,26.446,0.333,g
2458721.63846,2019-08-26.1354062,bq,1.47,15.934,12.834,0.014,26.704,0.322,g
2458722.52742,2019-08-27.0244392,bi,1.44,16.007,12.831,0.012,26.774,0.292,g
2458722.52864,2019-08-27.0256572,bi,1.54,16.047,12.856,0.012,26.145,0.283,g
2458722.52985,2019-08-27.0268763,bi,1.46,16.033,12.836,0.011,26.638,0.289,g
2458723.75206,2019-08-28.2491909,bA,2.14,16.208,12.762,0.010,28.518,0.261,g
2458723.75334,2019-08-28.2504752,bA,2.14,16.261,12.830,0.010,26.792,0.248,g
2458723.75463,2019-08-28.2517637,bA,2.13,16.220,12.814,0.010,27.199,0.258,g
2458724.30383,2019-08-28.8010057,bm,1.53,99.990,99.990,99.990,99.990,99.990,g
2458724.30505,2019-08-28.8022189,bm,1.43,99.990,99.990,99.990,99.990,99.990,g
2458724.30626,2019-08-28.8034306,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2458724.59221,2019-08-29.0894121,bi,1.48,16.002,12.850,0.012,26.310,0.295,g
2458724.59344,2019-08-29.0906371,bi,1.43,16.038,12.847,0.012,26.391,0.287,g
2458724.59466,2019-08-29.0918597,bi,1.43,15.988,12.851,0.012,26.280,0.300,g
2458724.74755,2019-08-29.2447579,bA,2.19,16.173,12.785,0.011,27.930,0.266,g
2458724.74883,2019-08-29.2460475,bA,2.19,16.185,12.780,0.010,28.076,0.261,g
2458724.75013,2019-08-29.2473364,bA,2.17,16.190,12.777,0.010,28.133,0.267,g
